transaction_id,customer_id,amount,status,timestamp
txn_1,user_47,288864.6,SUCCESS,2026-05-13 23:31:38.380486
txn_2,user_35,439301.38,SUCCESS,2026-05-13 23:31:39.380486
txn_3,user_1,481648.49,SUCCESS,2026-05-13 23:31:40.380486
txn_4,user_30,33647.49,SUCCESS,2026-05-13 23:31:41.380486
txn_5,user_28,227769.14,SUCCESS,2026-05-13 23:31:42.380486
txn_6,user_14,180033.72,SUCCESS,2026-05-13 23:31:43.380486
txn_7,user_17,483996.73,SUCCESS,2026-05-13 23:31:44.380486
txn_8,user_32,151673.18,SUCCESS,2026-05-13 23:31:45.380486
txn_9,user_21,54601.86,SUCCESS,2026-05-13 23:31:46.380486
txn_10,user_31,470596.59,SUCCESS,2026-05-13 23:31:47.380486
txn_11,user_4,331458.52,SUCCESS,2026-05-13 23:31:48.380486
txn_12,user_13,473863.61,SUCCESS,2026-05-13 23:31:49.380486
txn_13,user_24,485152.86,SUCCESS,2026-05-13 23:31:50.380486
txn_14,user_5,401789.67,SUCCESS,2026-05-13 23:31:51.380486
txn_15,user_15,194071.83,SUCCESS,2026-05-13 23:31:52.380486
txn_16,user_34,378669.9,SUCCESS,2026-05-13 23:31:53.380486
txn_17,user_29,115464.03,SUCCESS,2026-05-13 23:31:54.380486
txn_18,user_8,93866.12,SUCCESS,2026-05-13 23:31:55.380486
txn_19,user_4,307554.37,SUCCESS,2026-05-13 23:31:56.380486
txn_20,user_8,51041.63,SUCCESS,2026-05-13 23:31:57.380486
txn_21,user_14,352046.83,SUCCESS,2026-05-13 23:31:58.380486
txn_22,user_30,45133.82,SUCCESS,2026-05-13 23:31:59.380486
txn_23,user_25,362868.82,SUCCESS,2026-05-13 23:32:00.380486
txn_24,user_20,109793.89,SUCCESS,2026-05-13 23:32:01.380486
txn_25,user_3,21760.92,SUCCESS,2026-05-13 23:32:02.380486
txn_26,user_44,378969.15,SUCCESS,2026-05-13 23:32:03.380486
txn_27,user_3,166936.07,SUCCESS,2026-05-13 23:32:04.380486
