transaction_id,internal_amount,reconciliation_status
txn_1,288864.6,MISSING_IN_GATEWAY
txn_2,439301.38,AMOUNT_MISMATCH
txn_5,227769.14,MISSING_IN_BANK
txn_6,180033.72,MISSING_IN_GATEWAY
txn_10,470596.59,AMOUNT_MISMATCH
txn_13,485152.86,AMOUNT_MISMATCH
txn_17,115464.03,MISSING_IN_BANK
txn_18,93866.12,AMOUNT_MISMATCH
txn_21,352046.83,MISSING_IN_BANK
txn_23,362868.82,AMOUNT_MISMATCH
txn_26,378969.15,MISSING_IN_GATEWAY
txn_27,166936.07,MISSING_IN_GATEWAY
txn_33,311582.51,MISSING_IN_BANK
txn_34,293600.0,MISSING_IN_GATEWAY
txn_36,330895.51,MISSING_IN_BANK
txn_42,325842.2,AMOUNT_MISMATCH
txn_48,255853.32,MISSING_IN_GATEWAY
txn_54,188063.76,MISSING_IN_BANK
txn_55,204395.8,MISSING_IN_BANK
txn_58,123153.96,MISSING_IN_BANK
txn_62,149520.95,MISSING_IN_BANK
txn_65,212906.27,MISSING_IN_GATEWAY
txn_69,145097.05,MISSING_IN_BANK
txn_71,176931.62,MISSING_IN_BANK
txn_72,109714.04,MISSING_IN_GATEWAY
txn_75,76166.69,MISSING_IN_BANK
txn_78,475551.54,MISSING_IN_BANK
txn_79,322674.07,MISSING_IN_BANK
txn_82,344315.44,AMOUNT_MISMATCH
txn_84,474093.8,MISSING_IN_GATEWAY
txn_87,14772.64,MISSING_IN_BANK
txn_89,325939.13,MISSING_IN_GATEWAY
txn_91,225822.13,MISSING_IN_GATEWAY
txn_93,175491.5,AMOUNT_MISMATCH
txn_94,375970.93,MISSING_IN_GATEWAY
txn_97,97936.65,MISSING_IN_GATEWAY
txn_98,212456.85,MISSING_IN_GATEWAY
txn_99,98641.82,MISSING_IN_BANK
txn_101,279425.61,MISSING_IN_GATEWAY
txn_102,245252.82,MISSING_IN_BANK
txn_103,223100.56,AMOUNT_MISMATCH
txn_107,417748.38,MISSING_IN_BANK
txn_111,6695.79,MISSING_IN_GATEWAY
txn_113,477365.17,MISSING_IN_BANK
txn_117,193919.84,MISSING_IN_BANK
txn_121,192971.11,MISSING_IN_BANK
txn_123,240089.36,MISSING_IN_BANK
txn_126,144715.77,MISSING_IN_BANK
txn_129,268574.17,AMOUNT_MISMATCH
txn_130,376316.58,MISSING_IN_BANK
txn_132,264355.79,AMOUNT_MISMATCH
txn_141,400225.78,MISSING_IN_GATEWAY
txn_142,488837.74,AMOUNT_MISMATCH
txn_143,104658.86,MISSING_IN_BANK
txn_144,405220.1,MISSING_IN_GATEWAY
txn_145,445952.46,MISSING_IN_GATEWAY
txn_149,414494.28,AMOUNT_MISMATCH
txn_152,340122.18,MISSING_IN_GATEWAY
txn_159,151466.32,MISSING_IN_GATEWAY
txn_160,75149.38,AMOUNT_MISMATCH
txn_161,93513.09,MISSING_IN_BANK
txn_163,47513.19,MISSING_IN_BANK
txn_166,212656.08,MISSING_IN_BANK
txn_168,237821.85,MISSING_IN_BANK
txn_172,311984.98,MISSING_IN_BANK
txn_174,152483.52,MISSING_IN_GATEWAY
txn_175,491808.43,MISSING_IN_GATEWAY
txn_177,45402.98,MISSING_IN_BANK
txn_178,39907.2,MISSING_IN_BANK
txn_179,9603.06,MISSING_IN_BANK
txn_182,399533.05,MISSING_IN_GATEWAY
txn_183,194633.75,MISSING_IN_GATEWAY
txn_188,177676.1,MISSING_IN_BANK
txn_189,14026.93,MISSING_IN_GATEWAY
txn_192,412854.56,MISSING_IN_BANK
txn_194,63278.65,MISSING_IN_BANK
txn_199,410522.81,MISSING_IN_BANK
txn_200,314012.63,MISSING_IN_GATEWAY
