transaction_id,account,entry_type,amount,timestamp
txn_1,user_47_wallet,DEBIT,288864.6,2026-05-13 23:31:38.380486
txn_1,company_settlement_account,CREDIT,288864.6,2026-05-13 23:31:38.380486
txn_2,user_35_wallet,DEBIT,439301.38,2026-05-13 23:31:39.380486
txn_2,company_settlement_account,CREDIT,439301.38,2026-05-13 23:31:39.380486
txn_3,user_1_wallet,DEBIT,481648.49,2026-05-13 23:31:40.380486
txn_3,company_settlement_account,CREDIT,481648.49,2026-05-13 23:31:40.380486
txn_4,user_30_wallet,DEBIT,33647.49,2026-05-13 23:31:41.380486
txn_4,company_settlement_account,CREDIT,33647.49,2026-05-13 23:31:41.380486
txn_5,user_28_wallet,DEBIT,227769.14,2026-05-13 23:31:42.380486
txn_5,company_settlement_account,CREDIT,227769.14,2026-05-13 23:31:42.380486
txn_6,user_14_wallet,DEBIT,180033.72,2026-05-13 23:31:43.380486
txn_6,company_settlement_account,CREDIT,180033.72,2026-05-13 23:31:43.380486
txn_7,user_17_wallet,DEBIT,483996.73,2026-05-13 23:31:44.380486
txn_7,company_settlement_account,CREDIT,483996.73,2026-05-13 23:31:44.380486
txn_8,user_32_wallet,DEBIT,151673.18,2026-05-13 23:31:45.380486
txn_8,company_settlement_account,CREDIT,151673.18,2026-05-13 23:31:45.380486
txn_9,user_21_wallet,DEBIT,54601.86,2026-05-13 23:31:46.380486
txn_9,company_settlement_account,CREDIT,54601.86,2026-05-13 23:31:46.380486
txn_10,user_31_wallet,DEBIT,470596.59,2026-05-13 23:31:47.380486
txn_10,company_settlement_account,CREDIT,470596.59,2026-05-13 23:31:47.380486
txn_11,user_4_wallet,DEBIT,331458.52,2026-05-13 23:31:48.380486
txn_11,company_settlement_account,CREDIT,331458.52,2026-05-13 23:31:48.380486
txn_12,user_13_wallet,DEBIT,473863.61,2026-05-13 23:31:49.380486
txn_12,company_settlement_account,CREDIT,473863.61,2026-05-13 23:31:49.380486
txn_13,user_24_wallet,DEBIT,485152.86,2026-05-13 23:31:50.380486
txn_13,company_settlement_account,CREDIT,485152.86,2026-05-13 23:31:50.380486
txn_14,user_5_wallet,DEBIT,401789.67,2026-05-13 23:31:51.380486
txn_14,company_settlement_account,CREDIT,401789.67,2026-05-13 23:31:51.380486
txn_15,user_15_wallet,DEBIT,194071.83,2026-05-13 23:31:52.380486
txn_15,company_settlement_account,CREDIT,194071.83,2026-05-13 23:31:52.380486
